SourceTable,Year,RowLabel,Metric,Value
cps_table1,1948,All,Civilian labor force Employed Agriculture,7629.0
cps_table1,1949,All,Civilian labor force Employed Agriculture,7658.0
cps_table1,1949,All,Civilian labor force Employed Agriculture,7658.0
cps_table1,1950,All,Civilian labor force Employed Agriculture,7160.0
cps_table1,1950,All,Civilian labor force Employed Agriculture,7160.0
cps_table1,1950,All,Civilian labor force Employed Agriculture,7160.0
cps_table1,1951,All,Civilian labor force Employed Agriculture,6726.0
cps_table1,1951,All,Civilian labor force Employed Agriculture,6726.0
cps_table1,1951,All,Civilian labor force Employed Agriculture,6726.0
cps_table1,1951,All,Civilian labor force Employed Agriculture,6726.0
cps_table1,1952,All,Civilian labor force Employed Agriculture,6500.0
cps_table1,1952,All,Civilian labor force Employed Agriculture,6500.0
cps_table1,1952,All,Civilian labor force Employed Agriculture,6500.0
cps_table1,1952,All,Civilian labor force Employed Agriculture,6500.0
cps_table1,1952,All,Civilian labor force Employed Agriculture,6500.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1953,All,Civilian labor force Employed Agriculture,6260.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1954,All,Civilian labor force Employed Agriculture,6205.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
cps_table1,1955,All,Civilian labor force Employed Agriculture,6450.0
